Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Death from serious treatable complications after surgery,Footnote - Death from serious treatable complications after surgery,Collapsed lung due to medical treatment,Footnote - Collapsed lung due to medical treatment,Serious blood clots after surgery,Footnote - Serious blood clots after surgery,A wound that splits open after surgery,Footnote - A wound that splits open after surgery,Accidental cuts and tears from medical treatment,Footnote - Accidental cuts and tears from medical treatment,Serious Complications,Footnote - Serious Complications,Number of Patients - Death from serious treatable complications after surgery,Rate - Death from serious treatable complications after surgery,Lower Estimate - Death from serious treatable complications after surgery,Higher Estimate - Death from serious treatable complications after surgery,Number of Patients - Collapsed lung due to medical treatment,Rate - Collapsed lung due to medical treatment,Lower Estimate - Collapsed lung due to medical treatment,Higher Estimate - Collapsed lung due to medical treatment,Number of Patients - Serious blood clots after surgery,Rate - Serious blood clots after surgery,Lower Estimate - Serious blood clots after surgery,Higher Estimate - Serious blood clots after surgery,Number of Patients - A wound that splits open after surgery,Rate - A wound that splits open after surgery,Lower Estimate - A wound that splits open after surgery,Higher Estimate - A wound that splits open after surgery,Number of Patients - Accidental cuts and tears from medical treatment,Rate - Accidental cuts and tears from medical treatment,Lower Estimate - Accidental cuts and tears from medical treatment,Higher Estimate - Accidental cuts and tears from medical treatment,Number of Patients - Serious Complications,Rate - Serious Complications,Lower Estimate - Serious Complications,Higher Estimate - Serious Complications
360019,SUMMA HEALTH SYSTEM BARBERTON HOSPITAL,155 5TH STREET N E,,,BARBERTON,OH,44203,SUMMIT,3306153000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,61,134.11,89.66,178.56,6869,0.16,0.00,0.45,1316,5.89,2.91,8.87,211,0.53,0.00,2.25,7198,2.19,1.01,3.37,Not Available,Not Available,Not Available,Not Available
140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,,,CHICAGO,IL,60640,COOK,7738788700,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,109,99.20,63.33,135.07,7339,0.27,0.00,0.56,1786,7.68,5.31,10.05,148,2.27,0.41,4.13,7611,1.30,0.05,2.55,Not Available,Not Available,Not Available,Not Available
240040,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,750 EAST 34TH ST,,,HIBBING,MN,55746,SAINT LOUIS,2183626659,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,17,Not Available,Not Available,Not Available,2601,0.29,0.00,0.68,234,5.31,1.00,9.62,69,0.77,0.00,2.85,2671,1.80,0.00,3.60,Not Available,Not Available,Not Available,Not Available
050608,DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,,,DELANO,CA,93215,KERN,6617254800,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,Worse than U.S. National Rate,,19,Not Available,Not Available,Not Available,1786,0.38,0.00,0.77,404,5.93,1.76,10.10,98,0.77,0.00,2.85,1895,4.64,2.88,6.40,Not Available,Not Available,Not Available,Not Available
510050,WHEELING HOSPITAL,1 MEDICAL PARK,,,WHEELING,WV,26003,OHIO,3042433000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,146,129.92,93.80,166.04,7106,0.56,0.27,0.85,2336,5.73,3.18,8.28,221,0.55,0.00,2.31,7758,1.14,0.08,2.20,Not Available,Not Available,Not Available,Not Available
040134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,,,LITTLE ROCK,AR,72211,PULASKI,5012197000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,Better than U.S. National Rate,,77,114.56,70.52,158.60,8709,0.49,0.25,0.73,5551,2.03,0.03,4.03,130,0.65,0.00,2.57,9857,1.25,0.47,2.03,Not Available,Not Available,Not Available,Not Available
100213,BLAKE MEDICAL CENTER,2020 59TH ST W,,,BRADENTON,FL,34209,MANATEE,9417926611,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,114,101.15,61.79,140.51,12798,0.16,0.00,0.41,4066,4.76,2.88,6.64,322,2.10,0.57,3.63,13165,1.24,0.32,2.16,Not Available,Not Available,Not Available,Not Available
050747,COASTAL COMMUNITIES HOSPITAL,2701 S BRISTOL ST,,,SANTA ANA,CA,92704,ORANGE,7147545454,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,13,Not Available,Not Available,Not Available,1153,0.29,0.00,0.68,189,3.70,0.00,8.29,40,0.81,0.00,2.95,1209,1.35,0.00,3.29,Not Available,Not Available,Not Available,Not Available
240006,OLMSTED MEDICAL CENTER,1650 FOURTH STREET SOUTHEAST,,,ROCHESTER,MN,55904,OLMSTED,5075296600,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,6,Not Available,Not Available,Not Available,753,0.44,0.01,0.87,272,6.57,2.16,10.98,25,0.87,0.00,3.08,784,2.36,0.28,4.44,Not Available,Not Available,Not Available,Not Available
050580,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,,,LA PALMA,CA,90623,ORANGE,7146707400,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,14,Not Available,Not Available,Not Available,3046,0.22,0.00,0.57,353,2.97,0.00,7.09,54,1.79,0.00,3.87,3101,1.05,0.00,2.77,Not Available,Not Available,Not Available,Not Available
370032,DEACONESS HOSPITAL,5501 NORTH PORTLAND AVENUE,,,OKLAHOMA CITY,OK,73112,OKLAHOMA,4056046109,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,90,130.98,92.62,169.34,7664,0.35,0.06,0.64,2134,2.53,0.18,4.88,292,1.04,0.00,2.63,7903,1.61,0.57,2.65,Not Available,Not Available,Not Available,Not Available
451310,BALLINGER MEMORIAL HOSPITAL,608 AVENUE B,,,BALLINGER,TX,76821,RUNNELS,3253652531,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
420005,MCLEOD MEDICAL CENTER - DILLON,301 E JACKSON ST,,,DILLON,SC,29536,DILLON,8437744111,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,11,Not Available,Not Available,Not Available,2311,0.27,0.00,0.66,257,4.47,0.06,8.88,50,0.82,0.00,2.98,2361,1.26,0.00,3.14,Not Available,Not Available,Not Available,Not Available
360086,SPRINGFIELD REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,,,SPRINGFIELD,OH,45504,CLARK,9375231000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,121,111.18,75.35,147.01,8668,0.42,0.15,0.69,2087,3.48,1.25,5.71,283,0.43,0.00,2.00,9260,2.65,1.61,3.69,Not Available,Not Available,Not Available,Not Available
390236,"MEMORIAL HOSPITAL, INC  TOWANDA",91 HOSPITAL DRIVE,,,TOWANDA,PA,18848,BRADFORD,5702652191,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1063,0.32,0.00,0.75,62,4.31,0.00,9.27,12,Not Applicable,Not Applicable,Not Applicable,1078,1.69,0.00,3.87,Not Available,Not Available,Not Available,Not Available
390090,WESTERN PENNSYLVANIA HOSPITAL,4800 FRIENDSHIP AVENUE,,,PITTSBURGH,PA,15224,ALLEGHENY,4125785000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,33,126.54,77.03,176.05,4271,0.54,0.21,0.87,1265,1.66,0.00,4.33,140,0.72,0.00,2.72,4437,1.77,0.52,3.02,Not Available,Not Available,Not Available,Not Available
330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",,,BUFFALO,NY,14210,ERIE,7168598620,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,367,140.94,117.22,164.66,33815,0.42,0.24,0.60,10372,4.60,3.52,5.68,1134,0.96,0.00,2.00,35437,1.70,1.17,2.23,Not Available,Not Available,Not Available,Not Available
100009,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,,,MIAMI,FL,33136,MIAMI-DADE,3053255511,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,285,139.51,111.46,167.56,16566,0.49,0.27,0.71,4999,8.41,6.67,10.15,597,1.14,0.00,2.45,17521,2.39,1.66,3.12,Not Available,Not Available,Not Available,Not Available
440182,MCKENZIE REGIONAL HOSPITAL,161 HOSPITAL DRIVE,,,MC KENZIE,TN,38201,CARROLL,7313525344,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1433,0.32,0.00,0.75,42,4.56,0.00,9.66,33,0.89,0.00,3.12,1473,2.82,0.72,4.92,Not Available,Not Available,Not Available,Not Available
280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,,,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,3086353711,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,105,138.17,99.64,176.70,5007,0.20,0.00,0.53,1876,2.06,0.00,4.51,235,0.49,0.00,2.16,5071,1.84,0.64,3.04,Not Available,Not Available,Not Available,Not Available
351309,SANFORD MAYVILLE,42 6TH AVENUE SE,,,MAYVILLE,ND,58257,TRAILL,7017863800,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
180051,JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,,,HOPKINSVILLE,KY,42240,CHRISTIAN,2708870100,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,52,130.37,84.72,176.02,5517,0.43,0.10,0.76,1055,4.57,1.38,7.76,200,1.29,0.00,3.05,5868,2.03,0.68,3.38,Not Available,Not Available,Not Available,Not Available
23012F,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD.,,,BATTLE CREEK                  ,MI,49015,CALHOUN,2699665600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,,,LIMA,OH,45804,ALLEN,4199984731,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,83,88.52,47.60,129.44,5364,0.49,0.18,0.80,1530,4.47,1.65,7.29,141,2.20,0.38,4.02,5923,2.33,1.11,3.55,Not Available,Not Available,Not Available,Not Available
271302,DAHL MEMORIAL HEALTHCARE ASSOC,215 SANDY ST,,,EKALAKA,MT,59324,CARTER,4067758739,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
191326,REEVES MEMORIAL MEDICAL CENTER,409 FIRST STREET,,,BERNICE,LA,71222,UNION,3182859066,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
151320,JAY COUNTY HOSPITAL,500 W VOTAW ST,,,PORTLAND,IN,47371,JAY,2607267131,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
450219,SCOTT & WHITE HOSPITAL-LLANO,200 W OLLIE,,,LLANO,TX,78643,LLANO,3252475040,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,927,0.32,0.00,0.75,69,4.26,0.00,9.18,25,0.87,0.00,3.08,971,1.57,0.00,3.67,Not Available,Not Available,Not Available,Not Available
521315,"MAYO CLINIC HEALTH SYSTEM - NORTHLAND, INC",1222 E WOODLAND AVE,,,BARRON,WI,54812,BARRON,7155373186,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
210034,MEDSTAR HARBOR HOSPITAL,3001 S HANOVER STREET,,,BALTIMORE,MD,21225,BALTIMORE CITY,4103503201,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
370048,MCCURTAIN MEMORIAL HOSPITAL,1301 LINCOLN ROAD,,,IDABEL,OK,74745,MCCURTAIN,5802867623,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1744,0.31,0.00,0.72,23,Not Applicable,Not Applicable,Not Applicable,13,Not Applicable,Not Applicable,Not Applicable,1794,1.68,0.00,3.86,Not Available,Not Available,Not Available,Not Available
101305,GEORGE E WEEMS MEMORIAL HOSPITAL,135 AVE G,,,APALACHICOLA,FL,32320,FRANKLIN,8506538853,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
351307,ST ANDREWS HEALTH CENTER - CAH,316 OHMER STREET,,,BOTTINEAU,ND,58318,BOTTINEAU,7012289300,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
370220,ORTHOPEDIC HOSPITAL,"1044 SW 44TH, SUITE 350",,,OKLAHOMA CITY,OK,73109,OKLAHOMA,4056313085,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Number of Cases Too Small*,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,71,0.34,0.00,0.77,69,4.37,0.00,9.37,Not Applicable,Not Applicable,Not Applicable,Not Applicable,21,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
050295,MERCY HOSPITAL,2215 TRUXTUN AVENUE,,,BAKERSFIELD,CA,93301,KERN,6616325000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,77,101.58,60.97,142.19,4976,0.41,0.08,0.74,1404,2.34,0.00,5.20,260,0.52,0.00,2.24,5241,1.95,0.73,3.17,Not Available,Not Available,Not Available,Not Available
100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,,,MILTON,FL,32570,SANTA ROSA,8506267762,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,22,Not Available,Not Available,Not Available,3072,0.26,0.00,0.65,538,3.19,0.00,6.91,72,0.73,0.00,2.75,3143,2.78,1.06,4.50,Not Available,Not Available,Not Available,Not Available
451366,COCHRAN MEMORIAL HOSPITAL,205 E GRANT STREET,,,MORTON,TX,79346,COCHRAN,8062665565,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
300005,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,,,LACONIA,NH,03246,BELKNAP,6035243211,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,44,115.02,68.18,161.86,3528,0.32,0.00,0.69,1222,3.40,0.71,6.09,200,1.98,0.24,3.72,3717,2.56,1.27,3.85,Not Available,Not Available,Not Available,Not Available
150074,COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,,,INDIANAPOLIS,IN,46219,MARION,3173555411,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,101,116.63,78.74,154.52,9539,0.21,0.00,0.50,1809,1.98,0.00,4.37,235,0.51,0.00,2.20,9675,3.03,1.85,4.21,Not Available,Not Available,Not Available,Not Available
450884,EAST TEXAS MEDICAL CENTER - GILMER,712 NORTH WOOD,,,GILMER,TX,75644,UPSHUR,9038417100,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,825,0.32,0.00,0.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,840,1.91,0.00,4.22,Not Available,Not Available,Not Available,Not Available
160029,MERCY HOSPITAL,500 E MARKET STREET,,,IOWA CITY,IA,52245,JOHNSON,3193390300,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,84,101.08,58.08,144.08,7027,0.39,0.12,0.66,2787,3.61,1.38,5.84,292,0.48,0.00,2.13,7273,3.49,2.43,4.55,Not Available,Not Available,Not Available,Not Available
290046,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,,,LAS VEGAS,NV,89118,CLARK,7028533000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,192,135.64,101.14,170.14,7917,0.33,0.04,0.62,2637,5.98,3.71,8.25,338,1.57,0.02,3.12,8257,1.20,0.16,2.24,Not Available,Not Available,Not Available,Not Available
390125,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,,,HONESDALE,PA,18431,WAYNE,5702538100,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,11,Not Available,Not Available,Not Available,2934,0.23,0.00,0.58,510,3.18,0.00,6.88,149,2.23,0.39,4.07,3021,1.36,0.00,2.93,Not Available,Not Available,Not Available,Not Available
181308,BLUEGRASS COMMUNITY HOSPITAL,360 AMSDEN AVENUE,,,VERSAILLES,KY,40383,WOODFORD,8598792300,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
171367,GOVE COUNTY MEDICAL CENTER,520 WEST 5TH STREET,,,QUINTER,KS,67752,GOVE,7857543341,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
200034,ST MARYS REGIONAL MEDICAL CENTER,CAMPUS AVENUE - PO BOX 291,,,LEWISTON,ME,04240,ANDROSCOGGIN,2077778100,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,38,101.81,54.06,149.56,3555,0.49,0.12,0.86,1126,3.79,1.12,6.46,139,0.58,0.00,2.38,3627,2.60,1.13,4.07,Not Available,Not Available,Not Available,Not Available
450403,MEDICAL CENTER OF MCKINNEY,4500 MEDICAL CENTER DRIVE,,,MCKINNEY,TX,75069,COLLIN,9725478000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,92,126.52,86.71,166.33,6568,0.43,0.12,0.74,1447,7.37,4.68,10.06,129,2.33,0.45,4.21,6738,1.66,0.39,2.93,Not Available,Not Available,Not Available,Not Available
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,,,NEW YORK,NY,10029,NEW YORK,2122417981,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,Worse than U.S. National Rate,,545,132.33,111.79,152.87,38607,0.47,0.31,0.63,16535,5.01,4.07,5.95,1813,0.66,0.00,1.52,41203,2.71,2.32,3.10,Not Available,Not Available,Not Available,Not Available
